アクティブ,名前,タグ(未実装),x座標,y座標,z座標,ｘ回転,ｙ回転,ｚ回転,ｘスケール,ｙスケール,zスケール,親オブジェクト
1,LookPos,System,0,0,0,0,0,0,1,1,1,
1,MainCamera,MainCamera,0,50,-300,50,180,0,1,1,1,
1,DerectionalLight,DerectionalLight,-30,30,0,0,0,0,100,100,100,
1,Fade,UI,640,360,0,0,0,0,1280,720,1,
1,1Number,UI,340,30,0,0,0,0,0.5,0.5,1,
1,2Number,UI,340,160,0,0,0,0,0.5,0.5,1,
1,3Number,UI,340,290,0,0,0,0,0.5,0.5,1,
1,4Number,UI,340,420,0,0,0,0,0.5,0.5,1,
1,1P,UI,-512,30,0,0,0,0,0.5,0.5,1,
1,2P,UI,-512,160,0,0,0,0,0.5,0.5,1,
1,3P,UI,-512,290,0,0,0,0,0.5,0.5,1,
1,4P,UI,-512,420,0,0,0,0,0.5,0.5,1,
1,BG,UI,0,0,0,0,0,0,1,1,1,
1,UIBG1,UI,340,30,0,0,0,0,1,0.5,1,
1,UIBG2,UI,340,160,0,0,0,0,1,0.5,1,
1,UIBG3,UI,340,290,0,0,0,0,1,0.5,1,
1,UIBG4,UI,340,420,0,0,0,0,1,0.5,1,
1,Button,UI,340,420,0,0,0,0,1,0.5,1,
1,RetryButton,UI,940,250,0,0,0,0,0.8,0.8,1,
1,GotTitle,UI,940,400,0,0,0,0,0.8,0.8,1,
