アクティブ,コンポーネントの名前,付けるオブジェクトの名前,以降パラメータ,,,,,
1,RenderClientComponent,Player1,Plate,,,,,
1,AnimatorComponent,Player1,Resource\Motion\PlateMotion.csv,Resource\Event\AnimationEvent\PlateEvent.csv,,,,
1,AttackComponent,Player1,260,50,0,50,,
1,TitleCharacter,Player1,Plate_Move,,,,,
1,RenderClientComponent,Player2,Nail,,,,,
1,AnimatorComponent,Player2,Resource\Motion\NailMotion.csv,Resource\Event\AnimationEvent\NailEvent.csv,,,,
1,AttackComponent,Player2,260,50,0,50,,
1,TitleCharacter,Player2,Nail_Move,,,,,
1,CameraComponent,MainCamera,LookPos,,,,,
1,BloomEffect,MainCamera,,,,,,
1,DirectionalLightComponent,DerectionalLight,1,1,1,,,
1,PointLightComponent,Light1,0.006,0.03,0.00001,0,1,1
1,PointLightComponent,Light2,0.006,0.03,0.00001,0,1,1
1,PointLightComponent,Light3,0.004,0.018,0.00001,1,0.4,0
1,PointLightComponent,Light4,0.004,0.02,0.00001,1,1,0
1,PointLightComponent,Light5,0.004,0.02,0.00001,1,1,0
1,PointLightComponent,Light6,0.004,0.018,0.00001,1,0.4,0
1,PointLightComponent,Light7,0.004,0.02,0.00001,1,1,0
1,PointLightComponent,Light8,0.004,0.02,0.00001,1,1,0
1,PointLightComponent,Light9,0.004,0.02,0.00001,1,1,0
1,BoxRenderClientComponent,Light1,1,0,0,,,
1,BoxRenderClientComponent,Light2,1,0,0,,,
1,BoxRenderClientComponent,Light3,1,0,0,,,
1,BoxRenderClientComponent,Light4,1,1,0,,,
1,BoxRenderClientComponent,Light5,0,1,0,,,
1,BoxRenderClientComponent,Light6,0,1,0,,,
1,SpriteRenderComponent,Start,Start,,,,,
1,SpriteRenderComponent,End,End,,,,,
1,Buttom,Start,,,,,,
1,Buttom,End,,,,,,
1,Menu,Menu,2,,,,,
1,SpriteRenderComponent,Fade,Fade,10,,,,
1,FadeComponent,Fade,100,,,,,
1,SpriteRenderComponent,TitleLogo,Title,1,,,,
