アクティブ,名前,タグ(未実装),x座標,y座標,z座標,ｘ回転,ｙ回転,ｚ回転,ｘスケール,ｙスケール,zスケール,親オブジェクト
1,Player1,Player,-50,-100,0,0,0,0,100,100,100,
1,Player2,Player,50,-100,0,0,0,0,100,100,100,
1,LookPos,System,0,0,0,0,0,0,1,1,1,
1,MainCamera,MainCamera,0,50,-300,50,180,0,1,1,1,
1,DerectionalLight,DerectionalLight,-30,30,0,0,0,0,100,100,100,
1,Light1,Light,-770,140,410,0,0,0,1,1,1,
1,Light2,Light,770,140,410,0,0,0,1,1,1,
1,Light3,Light,-320,60,1210,0,0,0,1,1,1,
1,Light4,Light,-120,60,1210,0,0,0,1,1,1,
1,Light5,Light,120,60,1210,0,0,0,1,1,1,
1,Light6,Light,320,60,1210,0,0,0,1,1,1,
1,Light7,Light,-220,60,1210,0,0,0,1,1,1,
1,Light8,Light,220,60,1210,0,0,0,1,1,1,
1,Light9,Light,0,60,1210,0,0,0,1,1,1,
1,Start,Menu,1050,500,0,0,0,0,1,1,1,
1,End,Menu,1050,600,0,0,0,0,1,1,1,
1,Menu,UI,0,0,0,0,0,0,1,1,1,
1,Fade,UI,640,360,0,0,0,0,1280,720,1,
1,TitleLogo,UI,384,60,0,0,0,0,2,2,1,
