アクティブ,コンポーネントの名前,付けるオブジェクトの名前,以降パラメータ,,,,,
1,Test,Player,,,,,,
1,RenderClientComponent,Player1,Nail,,,,,
1,RenderClientComponent,Player2,Nail,,,,,
1,RenderClientComponent,Player3,Nail,,,,,
1,RenderClientComponent,Player4,Nail,,,,,
1,RenderClientComponent,Player5,Nail,,,,,
1,RenderClientComponent,Player6,Nail,,,,,
1,RenderClientComponent,Player7,Nail,,,,,
1,RenderClientComponent,Player8,Nail,,,,,
1,RenderClientComponent,Player,Nail,,,,,
1,PlayerComponent,Player8,,,,,,
1,PlayerComponent,Player7,,,,,,
1,PlayerComponent,Player6,,,,,,
1,PlayerComponent,Player5,,,,,,
1,PlayerComponent,Player4,,,,,,
1,PlayerComponent,Player3,,,,,,
1,PlayerComponent,Player2,,,,,,
1,PlayerComponent,Player1,,,,,,
1,AnimatorComponent,Player1,Nail_Normal,Nail_Move,Nail_Attack,,,
1,AnimatorComponent,Player2,Nail_Normal,Nail_Move,Nail_Attack,,,
1,AnimatorComponent,Player3,Nail_Normal,Nail_Move,Nail_Attack,,,
1,AnimatorComponent,Player4,Nail_Normal,Nail_Move,Nail_Attack,,,
1,AnimatorComponent,Player5,Nail_Normal,Nail_Move,Nail_Attack,,,
1,AnimatorComponent,Player6,Nail_Normal,Nail_Move,Nail_Attack,,,
1,AnimatorComponent,Player7,Nail_Normal,Nail_Move,Nail_Attack,,,
1,AnimatorComponent,Player8,Nail_Normal,Nail_Move,Nail_Attack,,,
1,AnimatorComponent,Player,Nail_Normal,Nail_Move,Nail_Attack,,,
1,Test,Player1,,,,,,
1,CameraComponent,MainCamera,Player2,8,,,,
1,CameraContoroller,MainCamera,,,,,,
1,DirectionalLightComponent,DerectionalLight,1,1,1,,,
0,DebugContoroller,DerectionalLight,,,,,,
1,RenderClientComponent,DerectionalLight,Pig,,,,,
1,PointLightComponent,Light1,0.0001,0.003,0.0000001,1,0,0
1,PointLightComponent,Light2,0.0001,0.003,0.0000001,1,0,0
1,PointLightComponent,Light3,0.0001,0.003,0.0000001,1,0,0
1,PointLightComponent,Light4,0.0001,0.003,0.0000001,1,1,0
1,PointLightComponent,Light5,0.0001,0.003,0.0000001,0,1,0
1,PointLightComponent,Light6,0.0001,0.003,0.0000001,0,1,0
1,PointLightComponent,Light7,0.0001,0.003,0.0000001,0,1,0
1,PointLightComponent,Light8,0.0001,0.003,0.0000001,0,1,0
1,PointLightComponent,Light9,0.0001,0.003,0.0000001,0,0,1
1,PointLightComponent,Light10,0.0001,0.003,0.0000001,0,0,1
1,BoxRenderClientComponent,Light1,1,0,0,,,
1,BoxRenderClientComponent,Light2,1,0,0,,,
1,BoxRenderClientComponent,Light3,1,0,0,,,
1,BoxRenderClientComponent,Light4,1,1,0,,,
1,BoxRenderClientComponent,Light5,0,1,0,,,
1,BoxRenderClientComponent,Light6,0,1,0,,,
1,BoxRenderClientComponent,Light7,0,1,0,,,
1,BoxRenderClientComponent,Light8,0,1,0,,,
1,BoxRenderClientComponent,Light9,0,0,1,,,
1,BoxRenderClientComponent,Light10,0,0,1,,,
1,SpriteRenderComponent,Sprite,UVTest,,,,,
1,RenderClientComponent,Room,Room,,,,,
0,DebugContoroller,Player5,,,,,,
1,DebugParticl,Light1,,,,,,
1,DebugParticl,Light2,,,,,,
1,DebugParticl,Light3,,,,,,
1,DebugParticl,Light4,,,,,,
1,DebugParticl,Light5,,,,,,
1,DebugParticl,Light6,,,,,,
1,DebugParticl,Light7,,,,,,
1,DebugParticl,Light8,,,,,,
1,DebugParticl,Light9,,,,,,
1,DebugParticl,Light10,,,,,,
