アクティブ,名前,タグ(未実装),x座標,y座標,z座標,ｘ回転,ｙ回転,ｚ回転,ｘスケール,ｙスケール,zスケール
1,Player,Test,0,0,0,0,0,0,10,10,10
1,Player1,Test,30,-180,-10,0,0,0,50,50,50
1,Player2,Test,-10,-180,-10,0,0,0,50,50,50
1,Player3,Test,-50,-180,-10,0,0,0,50,50,50
1,Player4,Test,-90,-180,-10,0,0,0,50,50,50
1,Player5,Test,-130,-180,10,0,0,0,50,50,50
1,Player6,Test,-170,-180,10,0,0,0,50,50,50
1,Player7,Test,-210,-180,10,0,0,0,50,50,50
1,Player8,Test,30,-180,-50,0,0,0,50,50,50
1,MainCamera,MainCamera,0,40,-250,50,180,0,1,1,1
1,DerectionalLight,DerectionalLight,0,30,50,0,0,0,1,1,1
1,Light1,Light,-80,-150,10,0,0,0,1,1,1
1,Light2,Light,-60,-150,10,0,0,0,1,1,1
1,Light3,Light,-40,-150,10,0,0,0,1,1,1
1,Light4,Light,-20,-150,10,0,0,0,1,1,1
1,Light5,Light,0,-150,10,0,0,0,1,1,1
1,Light6,Light,20,-150,10,0,0,0,1,1,1
1,Light7,Light,40,-150,10,0,0,0,1,1,1
1,Light8,Light,60,-150,10,0,0,0,1,1,1
1,Light9,Light,80,-150,10,0,0,0,1,1,1
1,Light10,Light,100,-150,10,0,0,0,1,1,1
0,Sprite,Sprite,0,0,0,0,0,0,1,1,1
1,Room,Room,0,0,0,0,0,0,20,15,20
